poch: 1 [0/388729 (0%)]	Loss: 0.052230
Train Epoch: 2 [184320/388729 (47%)]	Loss: 0.059054
Train Epoch: 2 [194560/388729 (50%)]	Loss: 0.080396
Train Epoch: 2 [204800/388729 (53%)]	Loss: 0.075394
Train Epoch: 2 [215040/388729 (55%)]	Loss: 0.068683
Train Epoch: 2 [225280/388729 (58%)]	Loss: 0.055914
Train Epoch: 2 [235520/388729 (61%)]	Loss: 0.066834
Train Epoch: 2 [245760/388729 (63%)]	Loss: 0.034818
Train Epoch: 2 [256000/388729 (66%)]	Loss: 0.042575
Train Epoch: 2 [266240/388729 (68%)]	Loss: 0.112970
Train Epoch: 2 [276480/388729 (71%)]	Loss: 0.051078
Train Epoch: 2 [286720/388729 (74%)]	Loss: 0.030795
Train Epoch: 2 [296960/388729 (76%)]	Loss: 0.051428
Train Epoch: 2 [307200/388729 (79%)]	Loss: 0.057553
Train Epoch: 2 [317440/388729 (82%)]	Loss: 0.043264
Train Epoch: 2 [327680/388729 (84%)]	Loss: 0.043858
Train Epoch: 2 [337920/388729 (87%)]	Loss: 0.045457
Train Epoch: 2 [348160/388729 (89%)]	Loss: 0.025882
Train Epoch: 2 [358400/388729 (92%)]	Loss: 0.045648
Train Epoch: 2 [368640/388729 (95%)]	Loss: 0.061620
Train Epoch: 2 [378880/388729 (97%)]	Loss: 0.048086

Validation set: Average loss: 0.0007, Accuracy: 3649/3870 (94%)

Train Epoch: 3 [0/388729 (0%)]	Loss: 0.036795
Train Epoch: 3 [10240/388729 (3%)]	Loss: 0.063088
Train Epoch: 3 [20480/388729 (5%)]	Loss: 0.038446
Train Epoch: 3 [30720/388729 (8%)]	Loss: 0.088181
Train Epoch: 3 [40960/388729 (11%)]	Loss: 0.055028
Train Epoch: 3 [51200/388729 (13%)]	Loss: 0.061134
Train Epoch: 3 [61440/388729 (16%)]	Loss: 0.069067
Train Epoch: 3 [71680/388729 (18%)]	Loss: 0.073310
Train Epoch: 3 [81920/388729 (21%)]	Loss: 0.077152
Train Epoch: 3 [92160/388729 (24%)]	Loss: 0.083558
Train Epoch: 3 [102400/388729 (26%)]	Loss: 0.059839
Train Epoch: 3 [112640/388729 (29%)]	Loss: 0.058478
Train Epoch: 3 [122880/388729 (32%)]	Loss: 0.040870
Train Epoch: 3 [133120/388729 (34%)]	Loss: 0.107822
Train Epoch: 3 [143360/388729 (37%)]	Loss: 0.064915
Train Epoch: 3 [153600/388729 (39%)]	Loss: 0.033844
Train Epoch: 3 [163840/388729 (42%)]	Loss: 0.053968
Train Epoch: 3 [174080/388729 (45%)]	Loss: 0.074362
Train Epoch: 3 [184320/388729 (47%)]	Loss: 0.089517
Train Epoch: 3 [194560/388729 (50%)]	Loss: 0.042981
Train Epoch: 3 [204800/388729 (53%)]	Loss: 0.059302
Train Epoch: 3 [215040/388729 (55%)]	Loss: 0.087673
Train Epoch: 3 [225280/388729 (58%)]	Loss: 0.054178
Train Epoch: 3 [235520/388729 (61%)]	Loss: 0.054351
Train Epoch: 3 [245760/388729 (63%)]	Loss: 0.047630
Train Epoch: 3 [256000/388729 (66%)]	Loss: 0.050600
Train Epoch: 3 [266240/388729 (68%)]	Loss: 0.032316
Train Epoch: 3 [276480/388729 (71%)]	Loss: 0.052528
Train Epoch: 3 [286720/388729 (74%)]	Loss: 0.056370
Train Epoch: 3 [296960/388729 (76%)]	Loss: 0.049810
Train Epoch: 3 [307200/388729 (79%)]	Loss: 0.050813
Train Epoch: 3 [317440/388729 (82%)]	Loss: 0.044088
Train Epoch: 3 [327680/388729 (84%)]	Loss: 0.043922
Train Epoch: 3 [337920/388729 (87%)]	Loss: 0.047248
Train Epoch: 3 [348160/388729 (89%)]	Loss: 0.047904
Train Epoch: 3 [358400/388729 (92%)]	Loss: 0.038229
Train Epoch: 3 [368640/388729 (95%)]	Loss: 0.053525
Train Epoch: 3 [378880/388729 (97%)]	Loss: 0.031759

Validation set: Average loss: 0.0007, Accuracy: 3632/3870 (94%)

Train Epoch: 4 [0/388729 (0%)]	Loss: 0.073340
Train Epoch: 4 [10240/388729 (3%)]	Loss: 0.053761
Train Epoch: 4 [20480/388729 (5%)]	Loss: 0.061845
Train Epoch: 4 [30720/388729 (8%)]	Loss: 0.048326
Train Epoch: 4 [40960/388729 (11%)]	Loss: 0.051944
Train Epoch: 4 [51200/388729 (13%)]	Loss: 0.072351
Train Epoch: 4 [61440/388729 (16%)]	Loss: 0.085435
Train Epoch: 4 [71680/388729 (18%)]	Loss: 0.060010
Train Epoch: 4 [81920/388729 (21%)]	Loss: 0.042391
Train Epoch: 4 [92160/388729 (24%)]	Loss: 0.060093
Train Epoch: 4 [102400/388729 (26%)]	Loss: 0.099868
Train Epoch: 4 [112640/388729 (29%)]	Loss: 0.088362
Train Epoch: 4 [122880/388729 (32%)]	Loss: 0.058436
Train Epoch: 4 [133120/388729 (34%)]	Loss: 0.051809
Train Epoch: 4 [143360/388729 (37%)]	Loss: 0.037275
Train Epoch: 4 [153600/388729 (39%)]	Loss: 0.145016
Train Epoch: 4 [163840/388729 (42%)]	Loss: 0.090202
Train Epoch: 4 [174080/388729 (45%)]	Loss: 0.072998
Train Epoch: 4 [184320/388729 (47%)]	Loss: 0.076277
Train Epoch: 4 [194560/388729 (50%)]	Loss: 0.074047
Train Epoch: 4 [204800/388729 (53%)]	Loss: 0.063029
Train Epoch: 4 [215040/388729 (55%)]	Loss: 0.060011
Train Epoch: 4 [225280/388729 (58%)]	Loss: 0.046471
Train Epoch: 4 [235520/388729 (61%)]	Loss: 0.065891
Train Epoch: 4 [245760/388729 (63%)]	Loss: 0.051263
Train Epoch: 4 [256000/388729 (66%)]	Loss: 0.087076
Train Epoch: 4 [266240/388729 (68%)]	Loss: 0.033073
Train Epoch: 4 [276480/388729 (71%)]	Loss: 0.052106
Train Epoch: 4 [286720/388729 (74%)]	Loss: 0.034013
Train Epoch: 4 [296960/388729 (76%)]	Loss: 0.041346
Train Epoch: 4 [307200/388729 (79%)]	Loss: 0.030699
Train Epoch: 4 [317440/388729 (82%)]	Loss: 0.051284
Train Epoch: 4 [327680/388729 (84%)]	Loss: 0.046585
Train Epoch: 4 [337920/388729 (87%)]	Loss: 0.034572
Train Epoch: 4 [348160/388729 (89%)]	Loss: 0.033404
Train Epoch: 4 [358400/388729 (92%)]	Loss: 0.043323
Train Epoch: 4 [368640/388729 (95%)]	Loss: 0.043215
Train Epoch: 4 [378880/388729 (97%)]	Loss: 0.071853

Validation set: Average loss: 0.0007, Accuracy: 3648/3870 (94%)

Train Epoch: 5 [0/388729 (0%)]	Loss: 0.040575
Train Epoch: 5 [10240/388729 (3%)]	Loss: 0.034947
Train Epoch: 5 [20480/388729 (5%)]	Loss: 0.058393
Train Epoch: 5 [30720/388729 (8%)]	Loss: 0.073904
Train Epoch: 5 [40960/388729 (11%)]	Loss: 0.050418
Train Epoch: 5 [51200/388729 (13%)]	Loss: 0.061128
Train Epoch: 5 [61440/388729 (16%)]	Loss: 0.066477
Train Epoch: 5 [71680/388729 (18%)]	Loss: 0.043233
Train Epoch: 5 [81920/388729 (21%)]	Loss: 0.039805
Train Epoch: 5 [92160/388729 (24%)]	Loss: 0.095895
Train Epoch: 5 [102400/388729 (26%)]	Loss: 0.119685
Train Epoch: 5 [112640/388729 (29%)]	Loss: 0.051156
Train Epoch: 5 [122880/388729 (32%)]	Loss: 0.078926
Train Epoch: 5 [133120/388729 (34%)]	Loss: 0.079197
Train Epoch: 5 [143360/388729 (37%)]	Loss: 0.066118
Train Epoch: 5 [153600/388729 (39%)]	Loss: 0.050466
Train Epoch: 5 [163840/388729 (42%)]	Loss: 0.074733
Train Epoch: 5 [174080/388729 (45%)]	Loss: 0.071100
Train Epoch: 5 [184320/388729 (47%)]	Loss: 0.054574
Train Epoch: 5 [194560/388729 (50%)]	Loss: 0.105084
Train Epoch: 5 [204800/388729 (53%)]	Loss: 0.063973
Train Epoch: 5 [215040/388729 (55%)]	Loss: 0.050183
Train Epoch: 5 [225280/388729 (58%)]	Loss: 0.042516
Train Epoch: 5 [235520/388729 (61%)]	Loss: 0.061643
Train Epoch: 5 [245760/388729 (63%)]	Loss: 0.033117
Train Epoch: 5 [256000/388729 (66%)]	Loss: 0.038788
Train Epoch: 5 [266240/388729 (68%)]	Loss: 0.076563
Train Epoch: 5 [276480/388729 (71%)]	Loss: 0.059432
Train Epoch: 5 [286720/388729 (74%)]	Loss: 0.030018
Train Epoch: 5 [296960/388729 (76%)]	Loss: 0.068862
Train Epoch: 5 [307200/388729 (79%)]	Loss: 0.038988
Train Epoch: 5 [317440/388729 (82%)]	Loss: 0.075146
Train Epoch: 5 [327680/388729 (84%)]	Loss: 0.040277
Train Epoch: 5 [337920/388729 (87%)]	Loss: 0.044783
Train Epoch: 5 [348160/388729 (89%)]	Loss: 0.076339
Train Epoch: 5 [358400/388729 (92%)]	Loss: 0.047585
Train Epoch: 5 [368640/388729 (95%)]	Loss: 0.073542
Train Epoch: 5 [378880/388729 (97%)]	Loss: 0.049880

Validation set: Average loss: 0.0006, Accuracy: 3637/3870 (94%)

Train Epoch: 6 [0/388729 (0%)]	Loss: 0.046099
Train Epoch: 6 [10240/388729 (3%)]	Loss: 0.066247
Train Epoch: 6 [20480/388729 (5%)]	Loss: 0.041437
Train Epoch: 6 [30720/388729 (8%)]	Loss: 0.050949
Train Epoch: 6 [40960/388729 (11%)]	Loss: 0.069970
Train Epoch: 6 [51200/388729 (13%)]	Loss: 0.065702
Train Epoch: 6 [61440/388729 (16%)]	Loss: 0.035267
Train Epoch: 6 [71680/388729 (18%)]	Loss: 0.080191
Train Epoch: 6 [81920/388729 (21%)]	Loss: 0.056607
Train Epoch: 6 [92160/388729 (24%)]	Loss: 0.109800
Train Epoch: 6 [102400/388729 (26%)]	Loss: 0.070468
Train Epoch: 6 [112640/388729 (29%)]	Loss: 0.049990
Train Epoch: 6 [122880/388729 (32%)]	Loss: 0.047047
Train Epoch: 6 [133120/388729 (34%)]	Loss: 0.064635
Train Epoch: 6 [143360/388729 (37%)]	Loss: 0.102282
Train Epoch: 6 [153600/388729 (39%)]	Loss: 0.052585
Train Epoch: 6 [163840/388729 (42%)]	Loss: 0.032688
Train Epoch: 6 [174080/388729 (45%)]	Loss: 0.056350
Train Epoch: 6 [184320/388729 (47%)]	Loss: 0.083243
Train Epoch: 6 [194560/388729 (50%)]	Loss: 0.064678
Train Epoch: 6 [204800/388729 (53%)]	Loss: 0.038187
Train Epoch: 6 [215040/388729 (55%)]	Loss: 0.058387
Train Epoch: 6 [225280/388729 (58%)]	Loss: 0.078947
Train Epoch: 6 [235520/388729 (61%)]	Loss: 0.049490
Train Epoch: 6 [245760/388729 (63%)]	Loss: 0.052250
Train Epoch: 6 [256000/388729 (66%)]	Loss: 0.048568
Train Epoch: 6 [266240/388729 (68%)]	Loss: 0.036651
Train Epoch: 6 [276480/388729 (71%)]	Loss: 0.053568
Train Epoch: 6 [286720/388729 (74%)]	Loss: 0.037428
Train Epoch: 6 [296960/388729 (76%)]	Loss: 0.044623
Train Epoch: 6 [307200/388729 (79%)]	Loss: 0.053936
Train Epoch: 6 [317440/388729 (82%)]	Loss: 0.037766
Train Epoch: 6 [327680/388729 (84%)]	Loss: 0.067016
Train Epoch: 6 [337920/388729 (87%)]	Loss: 0.067878
Train Epoch: 6 [348160/388729 (89%)]	Loss: 0.056379
Train Epoch: 6 [358400/388729 (92%)]	Loss: 0.035141
Train Epoch: 6 [368640/388729 (95%)]	Loss: 0.057112
Train Epoch: 6 [378880/388729 (97%)]	Loss: 0.043605

Validation set: Average loss: 0.0006, Accuracy: 3647/3870 (94%)

Train Epoch: 7 [0/388729 (0%)]	Loss: 0.043505
Train Epoch: 7 [10240/388729 (3%)]	Loss: 0.059000
Train Epoch: 7 [20480/388729 (5%)]	Loss: 0.087349
Train Epoch: 7 [30720/388729 (8%)]	Loss: 0.073052
Train Epoch: 7 [40960/388729 (11%)]	Loss: 0.065980
Train Epoch: 7 [51200/388729 (13%)]	Loss: 0.056593
Train Epoch: 7 [61440/388729 (16%)]	Loss: 0.086229
Train Epoch: 7 [71680/388729 (18%)]	Loss: 0.057593
Train Epoch: 7 [81920/388729 (21%)]	Loss: 0.095731
Train Epoch: 7 [92160/388729 (24%)]	Loss: 0.091982
Train Epoch: 7 [102400/388729 (26%)]	Loss: 0.062494
Train Epoch: 7 [112640/388729 (29%)]	Loss: 0.072057
Train Epoch: 7 [122880/388729 (32%)]	Loss: 0.071530
Train Epoch: 7 [133120/388729 (34%)]	Loss: 0.057904
Train Epoch: 7 [143360/388729 (37%)]	Loss: 0.061522
Train Epoch: 7 [153600/388729 (39%)]	Loss: 0.060489
Train Epoch: 7 [163840/388729 (42%)]	Loss: 0.074893
Train Epoch: 7 [174080/388729 (45%)]	Loss: 0.048791
Train Epoch: 7 [184320/388729 (47%)]	Loss: 0.047842
Train Epoch: 7 [194560/388729 (50%)]	Loss: 0.065241
Train Epoch: 7 [204800/388729 (53%)]	Loss: 0.074656
Train Epoch: 7 [215040/388729 (55%)]	Loss: 0.051610
Train Epoch: 7 [225280/388729 (58%)]	Loss: 0.048085
Train Epoch: 7 [235520/388729 (61%)]	Loss: 0.058745
Train Epoch: 7 [245760/388729 (63%)]	Loss: 0.070933
Train Epoch: 7 [256000/388729 (66%)]	Loss: 0.045271
Train Epoch: 7 [266240/388729 (68%)]	Loss: 0.063582
Train Epoch: 7 [276480/388729 (71%)]	Loss: 0.043374
Train Epoch: 7 [286720/388729 (74%)]	Loss: 0.030099
Train Epoch: 7 [296960/388729 (76%)]	Loss: 0.040779
Train Epoch: 7 [307200/388729 (79%)]	Loss: 0.075802
Train Epoch: 7 [317440/388729 (82%)]	Loss: 0.048065
Train Epoch: 7 [327680/388729 (84%)]	Loss: 0.052049
Train Epoch: 7 [337920/388729 (87%)]	Loss: 0.058495
Train Epoch: 7 [348160/388729 (89%)]	Loss: 0.029563
Train Epoch: 7 [358400/388729 (92%)]	Loss: 0.021957
Train Epoch: 7 [368640/388729 (95%)]	Loss: 0.055798
Train Epoch: 7 [378880/388729 (97%)]	Loss: 0.061327

Validation set: Average loss: 0.0007, Accuracy: 3619/3870 (94%)

Train Epoch: 8 [0/388729 (0%)]	Loss: 0.034307
Train Epoch: 8 [10240/388729 (3%)]	Loss: 0.045099
Train Epoch: 8 [20480/388729 (5%)]	Loss: 0.047850
Train Epoch: 8 [30720/388729 (8%)]	Loss: 0.038677
Train Epoch: 8 [40960/388729 (11%)]	Loss: 0.091806
Train Epoch: 8 [51200/388729 (13%)]	Loss: 0.088460
Train Epoch: 8 [61440/388729 (16%)]	Loss: 0.037168
Train Epoch: 8 [71680/388729 (18%)]	Loss: 0.058388
Train Epoch: 8 [81920/388729 (21%)]	Loss: 0.066525
Train Epoch: 8 [92160/388729 (24%)]	Loss: 0.075394
Train Epoch: 8 [102400/388729 (26%)]	Loss: 0.038452
Train Epoch: 8 [112640/388729 (29%)]	Loss: 0.054967
Train Epoch: 8 [122880/388729 (32%)]	Loss: 0.059905
Train Epoch: 8 [133120/388729 (34%)]	Loss: 0.046778
Train Epoch: 8 [143360/388729 (37%)]	Loss: 0.044391
Train Epoch: 8 [153600/388729 (39%)]	Loss: 0.050649
Train Epoch: 8 [163840/388729 (42%)]	Loss: 0.077876
Train Epoch: 8 [174080/388729 (45%)]	Loss: 0.058607
Train Epoch: 8 [184320/388729 (47%)]	Loss: 0.054227
Train Epoch: 8 [194560/388729 (50%)]	Loss: 0.044209
Train Epoch: 8 [204800/388729 (53%)]	Loss: 0.037229
Train Epoch: 8 [215040/388729 (55%)]	Loss: 0.067209
Train Epoch: 8 [225280/388729 (58%)]	Loss: 0.055072
Train Epoch: 8 [235520/388729 (61%)]	Loss: 0.060848
Train Epoch: 8 [245760/388729 (63%)]	Loss: 0.042726
Train Epoch: 8 [256000/388729 (66%)]	Loss: 0.040785
Train Epoch: 8 [266240/388729 (68%)]	Loss: 0.035647
Train Epoch: 8 [276480/388729 (71%)]	Loss: 0.040384
Train Epoch: 8 [286720/388729 (74%)]	Loss: 0.043918
Train Epoch: 8 [296960/388729 (76%)]	Loss: 0.019539
Train Epoch: 8 [307200/388729 (79%)]	Loss: 0.050797
Train Epoch: 8 [317440/388729 (82%)]	Loss: 0.034969
Train Epoch: 8 [327680/388729 (84%)]	Loss: 0.044172
Train Epoch: 8 [337920/388729 (87%)]	Loss: 0.078789
Train Epoch: 8 [348160/388729 (89%)]	Loss: 0.034612
Train Epoch: 8 [358400/388729 (92%)]	Loss: 0.061688
Train Epoch: 8 [368640/388729 (95%)]	Loss: 0.030198
Train Epoch: 8 [378880/388729 (97%)]	Loss: 0.052651

Validation set: Average loss: 0.0006, Accuracy: 3642/3870 (94%)

Train Epoch: 9 [0/388729 (0%)]	Loss: 0.018829
Train Epoch: 9 [10240/388729 (3%)]	Loss: 0.090341
Train Epoch: 9 [20480/388729 (5%)]	Loss: 0.043748
Train Epoch: 9 [30720/388729 (8%)]	Loss: 0.040290
Train Epoch: 9 [40960/388729 (11%)]	Loss: 0.105041
Train Epoch: 9 [51200/388729 (13%)]	Loss: 0.085022
Train Epoch: 9 [61440/388729 (16%)]	Loss: 0.083054
Train Epoch: 9 [71680/388729 (18%)]	Loss: 0.147304
Train Epoch: 9 [81920/388729 (21%)]	Loss: 0.144802
Train Epoch: 9 [92160/388729 (24%)]	Loss: 0.102307
Train Epoch: 9 [102400/388729 (26%)]	Loss: 0.106943
Train Epoch: 9 [112640/388729 (29%)]	Loss: 0.147563
Train Epoch: 9 [122880/388729 (32%)]	Loss: 0.096581
Train Epoch: 9 [133120/388729 (34%)]	Loss: 0.222590
Train Epoch: 9 [143360/388729 (37%)]	Loss: 0.098620
Train Epoch: 9 [153600/388729 (39%)]	Loss: 0.073200
Train Epoch: 9 [163840/388729 (42%)]	Loss: 0.055141
Train Epoch: 9 [174080/388729 (45%)]	Loss: 0.085301
Train Epoch: 9 [184320/388729 (47%)]	Loss: 0.044476
Train Epoch: 9 [194560/388729 (50%)]	Loss: 0.085225
Train Epoch: 9 [204800/388729 (53%)]	Loss: 0.092209
Train Epoch: 9 [215040/388729 (55%)]	Loss: 0.110561
Train Epoch: 9 [225280/388729 (58%)]	Loss: 0.097154
Train Epoch: 9 [235520/388729 (61%)]	Loss: 0.065066
Train Epoch: 9 [245760/388729 (63%)]	Loss: 0.065682
Train Epoch: 9 [256000/388729 (66%)]	Loss: 0.081177
Train Epoch: 9 [266240/388729 (68%)]	Loss: 0.064826
Train Epoch: 9 [276480/388729 (71%)]	Loss: 0.045158
Train Epoch: 9 [286720/388729 (74%)]	Loss: 0.114247
Train Epoch: 9 [296960/388729 (76%)]	Loss: 0.065012
Train Epoch: 9 [307200/388729 (79%)]	Loss: 0.073360
Train Epoch: 9 [317440/388729 (82%)]	Loss: 0.042377
Train Epoch: 9 [327680/388729 (84%)]	Loss: 0.066255
Train Epoch: 9 [337920/388729 (87%)]	Loss: 0.059295
Train Epoch: 9 [348160/388729 (89%)]	Loss: 0.033596
Train Epoch: 9 [358400/388729 (92%)]	Loss: 0.037788
Train Epoch: 9 [368640/388729 (95%)]	Loss: 0.062599
Train Epoch: 9 [378880/388729 (97%)]	Loss: 0.061160

Validation set: Average loss: 0.0007, Accuracy: 3617/3870 (93%)

Train Epoch: 10 [0/388729 (0%)]	Loss: 0.042436
Train Epoch: 10 [10240/388729 (3%)]	Loss: 0.072042
Train Epoch: 10 [20480/388729 (5%)]	Loss: 0.080342
Train Epoch: 10 [30720/388729 (8%)]	Loss: 0.106860
Train Epoch: 10 [40960/388729 (11%)]	Loss: 0.060982
Train Epoch: 10 [51200/388729 (13%)]	Loss: 0.079188
Train Epoch: 10 [61440/388729 (16%)]	Loss: 0.072819
Train Epoch: 10 [71680/388729 (18%)]	Loss: 0.056067
Train Epoch: 10 [81920/388729 (21%)]	Loss: 0.100278
Train Epoch: 10 [92160/388729 (24%)]	Loss: 0.071984
Train Epoch: 10 [102400/388729 (26%)]	Loss: 0.104101
Train Epoch: 10 [112640/388729 (29%)]	Loss: 0.101440
Train Epoch: 10 [122880/388729 (32%)]	Loss: 0.065695
Train Epoch: 10 [133120/388729 (34%)]	Loss: 0.083890
Train Epoch: 10 [143360/388729 (37%)]	Loss: 0.147543
Train Epoch: 10 [153600/388729 (39%)]	Loss: 0.085047
Train Epoch: 10 [163840/388729 (42%)]	Loss: 0.078486
Train Epoch: 10 [174080/388729 (45%)]	Loss: 0.083356
Train Epoch: 10 [184320/388729 (47%)]	Loss: 0.047164
Train Epoch: 10 [194560/388729 (50%)]	Loss: 0.065007
Train Epoch: 10 [204800/388729 (53%)]	Loss: 0.043228
Train Epoch: 10 [215040/388729 (55%)]	Loss: 0.070788
Train Epoch: 10 [225280/388729 (58%)]	Loss: 0.046254
Train Epoch: 10 [235520/388729 (61%)]	Loss: 0.064347
Train Epoch: 10 [245760/388729 (63%)]	Loss: 0.057205
Train Epoch: 10 [256000/388729 (66%)]	Loss: 0.054124
Train Epoch: 10 [266240/388729 (68%)]	Loss: 0.037308
Train Epoch: 10 [276480/388729 (71%)]	Loss: 0.062317
Train Epoch: 10 [286720/388729 (74%)]	Loss: 0.038545
Train Epoch: 10 [296960/388729 (76%)]	Loss: 0.050883
Train Epoch: 10 [307200/388729 (79%)]	Loss: 0.030261
Train Epoch: 10 [317440/388729 (82%)]	Loss: 0.044377
Train Epoch: 10 [327680/388729 (84%)]	Loss: 0.041312
Train Epoch: 10 [337920/388729 (87%)]	Loss: 0.077599
Train Epoch: 10 [348160/388729 (89%)]	Loss: 0.076003
Train Epoch: 10 [358400/388729 (92%)]	Loss: 0.065342
Train Epoch: 10 [368640/388729 (95%)]	Loss: 0.041692
Train Epoch: 10 [378880/388729 (97%)]	Loss: 0.036676

Validation set: Average loss: 0.0006, Accuracy: 3625/3870 (94%)

Train Epoch: 11 [0/388729 (0%)]	Loss: 0.040049
Train Epoch: 11 [10240/388729 (3%)]	Loss: 0.078338
Train Epoch: 11 [20480/388729 (5%)]	Loss: 0.060079
Train Epoch: 11 [30720/388729 (8%)]	Loss: 0.063089
Train Epoch: 11 [40960/388729 (11%)]	Loss: 0.057290
Train Epoch: 11 [51200/388729 (13%)]	Loss: 0.046051
Train Epoch: 11 [61440/388729 (16%)]	Loss: 0.068162
Train Epoch: 11 [71680/388729 (18%)]	Loss: 0.102622
Train Epoch: 11 [81920/388729 (21%)]	Loss: 0.088791
Train Epoch: 11 [92160/388729 (24%)]	Loss: 0.071306
Train Epoch: 11 [102400/388729 (26%)]	Loss: 0.083206
Train Epoch: 11 [112640/388729 (29%)]	Loss: 0.098537
Train Epoch: 11 [122880/388729 (32%)]	Loss: 0.081713
Train Epoch: 11 [133120/388729 (34%)]	Loss: 0.074863
Train Epoch: 11 [143360/388729 (37%)]	Loss: 0.056725
Train Epoch: 11 [153600/388729 (39%)]	Loss: 0.061777
Train Epoch: 11 [163840/388729 (42%)]	Loss: 0.065171
Train Epoch: 11 [174080/388729 (45%)]	Loss: 0.075640
Train Epoch: 11 [184320/388729 (47%)]	Loss: 0.063313
Train Epoch: 11 [194560/388729 (50%)]	Loss: 0.026350
Train Epoch: 11 [204800/388729 (53%)]	Loss: 0.077872
Train Epoch: 11 [215040/388729 (55%)]	Loss: 0.032008
Train Epoch: 11 [225280/388729 (58%)]	Loss: 0.036099
Train Epoch: 11 [235520/388729 (61%)]	Loss: 0.041917
Train Epoch: 11 [245760/388729 (63%)]	Loss: 0.028667
Train Epoch: 11 [256000/388729 (66%)]	Loss: 0.054304
Train Epoch: 11 [266240/388729 (68%)]	Loss: 0.056809
Train Epoch: 11 [276480/388729 (71%)]	Loss: 0.044219
Train Epoch: 11 [286720/388729 (74%)]	Loss: 0.088976
Train Epoch: 11 [296960/388729 (76%)]	Loss: 0.032842
Train Epoch: 11 [307200/388729 (79%)]	Loss: 0.051445
Train Epoch: 11 [317440/388729 (82%)]	Loss: 0.060268
